"filename", "language", "Python", "Batch", "pip requirements", "Markdown", "PowerShell", "JSON", "Properties", "JavaScript", "CSS", "reStructuredText", "XML", "C", "comment", "blank", "total"
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\packaging\version.py", "Python", 334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 113, 505
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py", "Python", 2548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 660, 3362
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\platformdirs\__init__.py", "Python", 495, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 567
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\platformdirs\__main__.py", "Python", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 54
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\platformdirs\android.py", "Python", 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 44, 211
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\platformdirs\api.py", "Python", 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 224
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\platformdirs\macos.py", "Python", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 92
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\platformdirs\unix.py", "Python", 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39, 224
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\platformdirs\version.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 5
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\platformdirs\windows.py", "Python", 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46, 256
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\__init__.py", "Python", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 83
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\__main__.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\cmdline.py", "Python", 554, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 76, 669
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\console.py", "Python", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 71
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\filter.py", "Python", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 72
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\filters\__init__.py", "Python", 858, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 80, 941
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\formatter.py", "Python", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 27, 125
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\formatters\__init__.py", "Python", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32, 159
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\formatters\_mapping.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 24
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\formatters\bbcode.py", "Python", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 109
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\formatters\groff.py", "Python", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 171
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\formatters\html.py", "Python", 789, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 178, 990
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\formatters\img.py", "Python", 520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 104, 646
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\formatters\irc.py", "Python", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25, 155
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\formatters\latex.py", "Python", 405, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 72, 522
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\formatters\other.py", "Python", 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30, 162
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\formatters\pangomarkup.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 84
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\formatters\rtf.py", "Python", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 27, 147
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\formatters\svg.py", "Python", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 189
"c:\GITHUB\SEMINARIO_FINAL\backend\venv\Lib\site-packages\pip\_vendor\pygments\formatters\terminal.py", "Python", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26, 128
